method,nu,seed,rel_l2,wall_time_s,final_loss,final_nfe,nan_divergence,inf_norm_J,best_w,failure_mode
Vanilla-PIELM,0.1,42,0.0008498623636512417,0.0708158016204834,nan,0,False,0.003946717828512192,nan,n/a
Vanilla-PIELM,0.1,123,0.003300740829677548,0.06526589393615723,nan,0,False,0.009520456194877625,nan,n/a
Vanilla-PIELM,0.1,7,0.00014509149041909357,0.0670464038848877,nan,0,False,0.0018670223653316498,nan,n/a
Vanilla-PIELM,0.01,42,4.799976493035083,0.06465458869934082,nan,0,False,0.35168710350990295,nan,n/a
Vanilla-PIELM,0.01,123,5.6541729995849135,0.06446242332458496,nan,0,False,0.4144592881202698,nan,n/a
Vanilla-PIELM,0.01,7,2.08781106988719,0.06227684020996094,nan,0,False,0.15294000506401062,nan,n/a
Vanilla-PIELM,0.001,42,17.763581844095178,0.06273651123046875,nan,0,False,0.4998712965170853,nan,n/a
Vanilla-PIELM,0.001,123,17.763515112802423,0.06451296806335449,nan,0,False,0.49987226648954675,nan,n/a
Vanilla-PIELM,0.001,7,17.763552590700993,0.06559324264526367,nan,0,False,0.4998690881766379,nan,n/a
Vanilla-PIELM,0.0001,42,22.360012728599894,0.06459736824035645,nan,0,False,0.4998713137174491,nan,n/a
Vanilla-PIELM,0.0001,123,22.359934889795845,0.06652545928955078,nan,0,False,0.4998723257740494,nan,n/a
Vanilla-PIELM,0.0001,7,22.360034459407718,0.06643033027648926,nan,0,False,0.49987034904370375,nan,n/a
Vanilla-PIELM,1e-05,42,22.360668743480282,0.06775450706481934,nan,0,False,0.49987130003864877,nan,n/a
Vanilla-PIELM,1e-05,123,22.36059182352126,0.0669701099395752,nan,0,False,0.49987231742125005,nan,n/a
Vanilla-PIELM,1e-05,7,22.36069415573377,0.06720519065856934,nan,0,False,0.4998703641613247,nan,n/a
KAPI-ELM,0.1,42,1.1542822325356325e-07,452.20285511016846,nan,0,False,3.5687480703927577e-06,0.9413324002769281,n/a
KAPI-ELM,0.1,123,1.5097182090475974e-08,453.08159351348877,nan,0,False,3.7494319258257747e-06,0.9385623833568143,n/a
KAPI-ELM,0.1,7,9.318076068609476e-08,451.77271246910095,nan,0,False,3.5835037124343216e-06,0.9418828847093228,n/a
KAPI-ELM,0.01,42,8.617458198591574e-08,445.49143171310425,nan,0,False,5.086776582174934e-07,0.9413324002769281,n/a
KAPI-ELM,0.01,123,1.1849959703336445e-08,439.4841077327728,nan,0,False,5.363908712752163e-07,0.9385623833568143,n/a
KAPI-ELM,0.01,7,7.499822851663777e-08,438.9412488937378,nan,0,False,5.101537681184709e-07,0.9418828847093228,n/a
KAPI-ELM,0.001,42,1.0385407380777634e-06,438.7916088104248,nan,0,False,7.356838978012092e-07,0.9537165142151839,n/a
KAPI-ELM,0.001,123,9.619794894604347e-07,426.46961975097656,nan,0,False,7.074149834807031e-07,0.9521724867320349,n/a
KAPI-ELM,0.001,7,6.213685417156746e-07,439.6111536026001,nan,0,False,7.408707460854203e-07,0.9472205318303761,n/a
KAPI-ELM,0.0001,42,0.00028101249255239224,439.82104754447937,nan,0,False,0.00019771519873756915,0.9899733113387613,n/a
KAPI-ELM,0.0001,123,5.859725348486171e-05,430.9956703186035,nan,0,False,0.00020001250959467143,0.99,n/a
KAPI-ELM,0.0001,7,0.00025528108363088395,430.7199738025665,nan,0,False,0.00019735173555091023,0.9899951696754655,n/a
KAPI-ELM,1e-05,42,4.449522496653537,458.63165807724,nan,0,False,0.044275033462326974,0.99,n/a
KAPI-ELM,1e-05,123,5.826236151153682,454.5223796367645,nan,0,False,0.010273133721057093,0.982967854088328,n/a
KAPI-ELM,1e-05,7,5.472499033485314,455.961688041687,nan,0,False,0.011915165184746002,0.9849388299782157,n/a
